DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,ERA_NM,CTPRVN_NM,SIGNGU_NM,ADDR,RELATE_RSTRNT_NM,RSTRNT_TEL_NO,RSTRNT_ADDR,REGIST_DE,CORE_KWRD_CN,OPN_DE
11,"청정 한우의 본연의 맛을 그대로 즐긴다, 광주 생고기",광주 생고기는 신선한 한우의 우둔살을 곱게 썰어 기름장 등에 찍어 먹는 광주광역시의 향토음식이다. 생고기 식용의 전통은 중국의 유교경전인 『맹자(孟子)』에 '회자(膾炙)'라는 말로 언급될 정도로 오랜 역사를 지녔다. 회자에서 ‘膾’는 생고기를 말하며 ‘炙’는 익힌 고기를 말한다. 이런 점에서 광주 생고기는 육고기 회(膾)의 원형을 제대로 계승한 음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/692,현대-현대(1945.8.15~현재),광주광역시,서구,광주광역시 서구 내방로 111,한우암소생고기전문점,0623641989,광주 남구 군분로 84,20191122,"광주, 생고기, 육회, 향토음식",20220630
12,"천연기념물을 백숙으로 먹다, 연산 오계(烏鷄)백숙","연산 오계백숙은 조선조 이래로 민가에서 사육해 온 우리나라 고유의 토종닭인 오계(烏鷄)로 만든 충청남도 논산시 연산면 화악리의 향토음식이다. 연산의 오계는 1980년 가금류로는 유일하게 천연기념물 제265호로 지정되었고, 2013년에는 ‘국제슬로푸드 생명다양성재단’에서 주관하는 ‘맛의 방주(Ark of Taste)’에도 등재되었다. 오계는 보존하기 위한 일정한 마릿수를 제외한 한도 내에서 식용이 가능하다.",지역 향토 음식,,https://ncms.nculture.org/food/story/693,현대-현대(1945.8.15~현재),충청남도,논산시,충남 논산시 연산면 화악길 70,연산오계,0417350808,충남 논산시 연산면 화악길 70,20191122,"연산, 오계, 오골계, 백숙, 향토음식",20220630
13,"천연기념물을 백숙으로 먹다, 연산 오계(烏鷄)백숙","연산 오계백숙은 조선조 이래로 민가에서 사육해 온 우리나라 고유의 토종닭인 오계(烏鷄)로 만든 충청남도 논산시 연산면 화악리의 향토음식이다. 연산의 오계는 1980년 가금류로는 유일하게 천연기념물 제265호로 지정되었고, 2013년에는 ‘국제슬로푸드 생명다양성재단’에서 주관하는 ‘맛의 방주(Ark of Taste)’에도 등재되었다. 오계는 보존하기 위한 일정한 마릿수를 제외한 한도 내에서 식용이 가능하다.",지역 향토 음식,,https://ncms.nculture.org/food/story/693,현대-현대(1945.8.15~현재),충청남도,논산시,충남 논산시 연산면 화악길 70,연산전통오계농장물댄동산,0417334701,충남 논산시 연산면 천호1길 65,20191122,"연산, 오계, 오골계, 백숙, 향토음식",20220630
14,"천연기념물을 백숙으로 먹다, 연산 오계(烏鷄)백숙","연산 오계백숙은 조선조 이래로 민가에서 사육해 온 우리나라 고유의 토종닭인 오계(烏鷄)로 만든 충청남도 논산시 연산면 화악리의 향토음식이다. 연산의 오계는 1980년 가금류로는 유일하게 천연기념물 제265호로 지정되었고, 2013년에는 ‘국제슬로푸드 생명다양성재단’에서 주관하는 ‘맛의 방주(Ark of Taste)’에도 등재되었다. 오계는 보존하기 위한 일정한 마릿수를 제외한 한도 내에서 식용이 가능하다.",지역 향토 음식,,https://ncms.nculture.org/food/story/693,현대-현대(1945.8.15~현재),충청남도,논산시,충남 논산시 연산면 화악길 70,지산농원,0417350707,충남 논산시 연산면 화악길 62,20191122,"연산, 오계, 오골계, 백숙, 향토음식",20220630
15,최씨 집안의 진상품이었던 곱돌솥으로 지은 장수 돌솥밥,장수돌솥밥은 전라북도 장수군의 특산물인 ‘곱돌’로 불리는 각섬석편마암을 가공하여 만든 돌솥에 쌀과 더불어 다양한 곡물을 비롯한 식재료를 넣어 만든 향토음식이다. 장수의 돌솥은 전라북도 장수군 장수읍 대성리의 고(故) 최순룡 씨가 1923년 본격적으로 상품화하면서 곱돌그릇이 장수군의 특산물로 알려지게 되었다.,지역 향토 음식,,https://ncms.nculture.org/food/story/694,근대-일제강점기(1910.8.22~1945.8.14),전라북도,장수군,전라북도 장수군 장수읍 대성리 221-1,남강영양돌솥밥,0633511356,전북 장수군 장수읍 장수북동1길 4,20191122,"장수군, 곱돌, 돌솥밥, 향토음식",20220630
16,최씨 집안의 진상품이었던 곱돌솥으로 지은 장수 돌솥밥,장수돌솥밥은 전라북도 장수군의 특산물인 ‘곱돌’로 불리는 각섬석편마암을 가공하여 만든 돌솥에 쌀과 더불어 다양한 곡물을 비롯한 식재료를 넣어 만든 향토음식이다. 장수의 돌솥은 전라북도 장수군 장수읍 대성리의 고(故) 최순룡 씨가 1923년 본격적으로 상품화하면서 곱돌그릇이 장수군의 특산물로 알려지게 되었다.,지역 향토 음식,,https://ncms.nculture.org/food/story/694,근대-일제강점기(1910.8.22~1945.8.14),전라북도,장수군,전라북도 장수군 장수읍 대성리 221-1,시골쌀밥영양돌솥밥,0633524700,전북 장수군 계남면 장수로 3061,20191122,"장수군, 곱돌, 돌솥밥, 향토음식",20220630
17,"대통령이 와도 없어서 못 준다는 귀한 물고기, 임진강 황복국","임진강 황복국은 바닷물과 민물이 만나는 기수지역에 서식하다가 음력 3~4월 경 하천이나 강으로 올라와 산란하는 황복을 잡아서 만든 국이다. 황복국은 조선시대 이래로 봄철의 절식(節食)이었으며, 현재의 경기도 파주시와 김포시, 서울의 향토음식으로 유명하였다. 최근에는 남획과 서식환경의 파괴로 인해 자연산 황복의 개체 수가 급감하여서 양식 황복으로 대체하고 있다.",지역 향토 음식,,https://ncms.nculture.org/food/story/695,조선-조선 후기(1593~1863),경기도,파주시,경기도 파주시 문산읍 사목로 77,갈릴리농원 청미안,0319420220,경기 파주시 탄현면 방촌로 1185,20191122,"파주, 임진강, 황복국, 복어, 복국, 향토음식",20220630
18,"대통령이 와도 없어서 못 준다는 귀한 물고기, 임진강 황복국","임진강 황복국은 바닷물과 민물이 만나는 기수지역에 서식하다가 음력 3~4월 경 하천이나 강으로 올라와 산란하는 황복을 잡아서 만든 국이다. 황복국은 조선시대 이래로 봄철의 절식(節食)이었으며, 현재의 경기도 파주시와 김포시, 서울의 향토음식으로 유명하였다. 최근에는 남획과 서식환경의 파괴로 인해 자연산 황복의 개체 수가 급감하여서 양식 황복으로 대체하고 있다.",지역 향토 음식,,https://ncms.nculture.org/food/story/695,조선-조선 후기(1593~1863),경기도,파주시,경기도 파주시 문산읍 사목로 77,임진대가집,0319535174,경기 파주시 문산읍 임진나루길 80,20191122,"파주, 임진강, 황복국, 복어, 복국, 향토음식",20220630
19,들깨국물과 된장이 조화를 이룬 광주 오리탕,광주 오리탕은 1970년대 광주광역시 북구 유동 옛 광주고속버스터미널 인근에 들어선 오리탕 음식점들로 오리탕 골목을 형성하면서 자리 잡은 광주광역시의 향토음식이다. 광주의 오리탕은 오리고기를 들깻가루와 된장을 푼 걸쭉한 국물에 끓인 다음 미나리를 얹어서 초장에 찍어 먹는 것이 특징이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/696,현대-현대(1945.8.15~현재),광주광역시,북구,광주 북구 유동 120-3,봉선골오리의집,0626765292,광주 남구 제석로 52,20191122,"광주, 오리탕, 오리고기, 향토음식",20220630
20,들깨국물과 된장이 조화를 이룬 광주 오리탕,광주 오리탕은 1970년대 광주광역시 북구 유동 옛 광주고속버스터미널 인근에 들어선 오리탕 음식점들로 오리탕 골목을 형성하면서 자리 잡은 광주광역시의 향토음식이다. 광주의 오리탕은 오리고기를 들깻가루와 된장을 푼 걸쭉한 국물에 끓인 다음 미나리를 얹어서 초장에 찍어 먹는 것이 특징이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/696,현대-현대(1945.8.15~현재),광주광역시,북구,광주 북구 유동 120-3,영일오리탕,0625254806,광주 북구 경양로 128,20191122,"광주, 오리탕, 오리고기, 향토음식",20220630
21,들깨국물과 된장이 조화를 이룬 광주 오리탕,광주 오리탕은 1970년대 광주광역시 북구 유동 옛 광주고속버스터미널 인근에 들어선 오리탕 음식점들로 오리탕 골목을 형성하면서 자리 잡은 광주광역시의 향토음식이다. 광주의 오리탕은 오리고기를 들깻가루와 된장을 푼 걸쭉한 국물에 끓인 다음 미나리를 얹어서 초장에 찍어 먹는 것이 특징이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/696,현대-현대(1945.8.15~현재),광주광역시,북구,광주 북구 유동 120-3,오메오메,0629550725,광주 광산구 왕버들로 113-2,20191122,"광주, 오리탕, 오리고기, 향토음식",20220630
22,들깨국물과 된장이 조화를 이룬 광주 오리탕,광주 오리탕은 1970년대 광주광역시 북구 유동 옛 광주고속버스터미널 인근에 들어선 오리탕 음식점들로 오리탕 골목을 형성하면서 자리 잡은 광주광역시의 향토음식이다. 광주의 오리탕은 오리고기를 들깻가루와 된장을 푼 걸쭉한 국물에 끓인 다음 미나리를 얹어서 초장에 찍어 먹는 것이 특징이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/696,현대-현대(1945.8.15~현재),광주광역시,북구,광주 북구 유동 120-3,태화오리탕,0625295866,광주 북구 중가로37번길 34,20191122,"광주, 오리탕, 오리고기, 향토음식",20220630
23,들깨국물과 된장이 조화를 이룬 광주 오리탕,광주 오리탕은 1970년대 광주광역시 북구 유동 옛 광주고속버스터미널 인근에 들어선 오리탕 음식점들로 오리탕 골목을 형성하면서 자리 잡은 광주광역시의 향토음식이다. 광주의 오리탕은 오리고기를 들깻가루와 된장을 푼 걸쭉한 국물에 끓인 다음 미나리를 얹어서 초장에 찍어 먹는 것이 특징이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/696,현대-현대(1945.8.15~현재),광주광역시,북구,광주 북구 유동 120-3,풍년오리탕,0625276636,광주 북구 경양로 125,20191122,"광주, 오리탕, 오리고기, 향토음식",20220630
24,"며느리도 모르는 매콤한 맛의 비결, 신당동 떡볶이","떡볶이는 19세기 조리서인 『규곤요람』에 떡볶이 만드는 법이 병적법(餠炙法)으로 소개되었고, ‘餠炙’이라는 음식명으로는 16세기부터 전해진 오랜 역사를 지닌 음식이다. 본래 궁중음식이었던 떡볶이는 떡과 소고기 등을 간장양념에 볶은 것이 원형으로 20세기 초까지 각종 문헌에 소개되었다. 신당동 떡볶이는 한국전쟁이 끝난 1953년경 마복림 씨가 고추장과 춘장을 배합한 양념에 떡과 야채 등을 볶아 만든 것을 서울특별시 중구 신당동에서 팔기 시작한 서울특별시의 향토음식이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/27/30036/15795/c/신당동-떡볶이-(2)-thumb.jpg,https://ncms.nculture.org/food/story/697,현대-현대(1945.8.15~현재),서울특별시,중구,서울특별시 중구 신당동 304-684,마복림떡볶이,0222328930,서울 중구 다산로35길 5,20191122,"서울, 떡볶이, 궁중떡볶이, 즉석떡볶이, 향토음식",20220630
25,"며느리도 모르는 매콤한 맛의 비결, 신당동 떡볶이","떡볶이는 19세기 조리서인 『규곤요람』에 떡볶이 만드는 법이 병적법(餠炙法)으로 소개되었고, ‘餠炙’이라는 음식명으로는 16세기부터 전해진 오랜 역사를 지닌 음식이다. 본래 궁중음식이었던 떡볶이는 떡과 소고기 등을 간장양념에 볶은 것이 원형으로 20세기 초까지 각종 문헌에 소개되었다. 신당동 떡볶이는 한국전쟁이 끝난 1953년경 마복림 씨가 고추장과 춘장을 배합한 양념에 떡과 야채 등을 볶아 만든 것을 서울특별시 중구 신당동에서 팔기 시작한 서울특별시의 향토음식이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/27/30036/15795/c/신당동-떡볶이-(2)-thumb.jpg,https://ncms.nculture.org/food/story/697,현대-현대(1945.8.15~현재),서울특별시,중구,서울특별시 중구 신당동 304-684,미니네,0222324425,서울 중구 다산로 219-1,20191122,"서울, 떡볶이, 궁중떡볶이, 즉석떡볶이, 향토음식",20220630
26,"며느리도 모르는 매콤한 맛의 비결, 신당동 떡볶이","떡볶이는 19세기 조리서인 『규곤요람』에 떡볶이 만드는 법이 병적법(餠炙法)으로 소개되었고, ‘餠炙’이라는 음식명으로는 16세기부터 전해진 오랜 역사를 지닌 음식이다. 본래 궁중음식이었던 떡볶이는 떡과 소고기 등을 간장양념에 볶은 것이 원형으로 20세기 초까지 각종 문헌에 소개되었다. 신당동 떡볶이는 한국전쟁이 끝난 1953년경 마복림 씨가 고추장과 춘장을 배합한 양념에 떡과 야채 등을 볶아 만든 것을 서울특별시 중구 신당동에서 팔기 시작한 서울특별시의 향토음식이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/27/30036/15795/c/신당동-떡볶이-(2)-thumb.jpg,https://ncms.nculture.org/food/story/697,현대-현대(1945.8.15~현재),서울특별시,중구,서울특별시 중구 신당동 304-684,삼대할먼네,0222331559,서울 중구 퇴계로76길 50,20191122,"서울, 떡볶이, 궁중떡볶이, 즉석떡볶이, 향토음식",20220630
27,"며느리도 모르는 매콤한 맛의 비결, 신당동 떡볶이","떡볶이는 19세기 조리서인 『규곤요람』에 떡볶이 만드는 법이 병적법(餠炙法)으로 소개되었고, ‘餠炙’이라는 음식명으로는 16세기부터 전해진 오랜 역사를 지닌 음식이다. 본래 궁중음식이었던 떡볶이는 떡과 소고기 등을 간장양념에 볶은 것이 원형으로 20세기 초까지 각종 문헌에 소개되었다. 신당동 떡볶이는 한국전쟁이 끝난 1953년경 마복림 씨가 고추장과 춘장을 배합한 양념에 떡과 야채 등을 볶아 만든 것을 서울특별시 중구 신당동에서 팔기 시작한 서울특별시의 향토음식이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/27/30036/15795/c/신당동-떡볶이-(2)-thumb.jpg,https://ncms.nculture.org/food/story/697,현대-현대(1945.8.15~현재),서울특별시,중구,서울특별시 중구 신당동 304-684,아이러브신당동,0222327872,서울 중구 퇴계로76길 50,20191122,"서울, 떡볶이, 궁중떡볶이, 즉석떡볶이, 향토음식",20220630
28,"며느리도 모르는 매콤한 맛의 비결, 신당동 떡볶이","떡볶이는 19세기 조리서인 『규곤요람』에 떡볶이 만드는 법이 병적법(餠炙法)으로 소개되었고, ‘餠炙’이라는 음식명으로는 16세기부터 전해진 오랜 역사를 지닌 음식이다. 본래 궁중음식이었던 떡볶이는 떡과 소고기 등을 간장양념에 볶은 것이 원형으로 20세기 초까지 각종 문헌에 소개되었다. 신당동 떡볶이는 한국전쟁이 끝난 1953년경 마복림 씨가 고추장과 춘장을 배합한 양념에 떡과 야채 등을 볶아 만든 것을 서울특별시 중구 신당동에서 팔기 시작한 서울특별시의 향토음식이다.",지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/27/30036/15795/c/신당동-떡볶이-(2)-thumb.jpg,https://ncms.nculture.org/food/story/697,현대-현대(1945.8.15~현재),서울특별시,중구,서울특별시 중구 신당동 304-684,우정,0222330669,서울 중구 퇴계로76길 55,20191122,"서울, 떡볶이, 궁중떡볶이, 즉석떡볶이, 향토음식",20220630
29,뱃사공들이 이른 아침 과음으로 쓰린 속을 달래던 충주 해장떡,충주 해장떡은 붉은 팥고물을 묻힌 인절미를 술국과 함께 먹는 충청북도 충주시 엄정면 목계리 목계나루의 향토음식이다. 충주지역은 조선시대 내륙지역의 최대 조창(漕倉)이었던 가흥창(嘉興倉)이 설치되었던 곳이다. 목계나루는 수운(水運)을 통해 세곡(稅穀)과 물자를 운반하는 물류의 거점지역이었다. 노동의 강도와 사고의 위험성이 높은 뱃일을 하는 뱃사공들이 피로와 스트레스를 풀기 위해 과음을 하면 자연스레 찾는 해장떡은 남한강 일대의 특유한 해장음식 문화였다.,지역 향토 음식,,https://ncms.nculture.org/food/story/698,조선-조선 후기(1593~1863),충청북도,충주시,충북 충주시 엄정면 목계리 399,,,,20191122,"충주, 남한강, 해장떡, 떡, 향토음식",20220630
30,노동자들의 마음을 배불려주었던 화평동세숫대야냉면,화평동냉면은 1970년대부터 인천부두의 인부들과 공장근로자들에게 저렴한 가격으로 푸짐한 양의 냉면을 큰 그릇에 담아 제공하면서 ‘세숫대야냉면’이라는 별칭이 붙은 인천광역시 동구 화평동의 향토음식이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/37/30068/15839/c/인천-화평동냉면-(2)-thumb.jpg,https://ncms.nculture.org/food/story/700,현대-현대(1945.8.15~현재),인천광역시,동구,인천 동구 송화로2번길 2 인천광역시동구체육회,삼미소문난냉면,0327634861,인천 동구 화평로 10,20191122,"인천, 냉면, 세숫대야냉면, 향토음식",20220630
31,노동자들의 마음을 배불려주었던 화평동세숫대야냉면,화평동냉면은 1970년대부터 인천부두의 인부들과 공장근로자들에게 저렴한 가격으로 푸짐한 양의 냉면을 큰 그릇에 담아 제공하면서 ‘세숫대야냉면’이라는 별칭이 붙은 인천광역시 동구 화평동의 향토음식이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/37/30068/15839/c/인천-화평동냉면-(2)-thumb.jpg,https://ncms.nculture.org/food/story/700,현대-현대(1945.8.15~현재),인천광역시,동구,인천 동구 송화로2번길 2 인천광역시동구체육회,아저씨냉면,0327653553,인천 동구 화도진로91번길 27,20191122,"인천, 냉면, 세숫대야냉면, 향토음식",20220630
32,노동자들의 마음을 배불려주었던 화평동세숫대야냉면,화평동냉면은 1970년대부터 인천부두의 인부들과 공장근로자들에게 저렴한 가격으로 푸짐한 양의 냉면을 큰 그릇에 담아 제공하면서 ‘세숫대야냉면’이라는 별칭이 붙은 인천광역시 동구 화평동의 향토음식이다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/37/30068/15839/c/인천-화평동냉면-(2)-thumb.jpg,https://ncms.nculture.org/food/story/700,현대-현대(1945.8.15~현재),인천광역시,동구,인천 동구 송화로2번길 2 인천광역시동구체육회,왔다냉면,0327650882,인천 동구 화평로 24,20191122,"인천, 냉면, 세숫대야냉면, 향토음식",20220630
