DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,FSTVL_PROGRM_NM,FSTVL_PROGRM_DC,REGIST_DE,CORE_KWRD_CN,OPN_DE
11,명태 잡고 명태 먹고 '고성통일명태축제',"강원도 고성군 거진항은 국내산 명태의 본고장이다. 전국 명태 어획량의 70%가 고성군 어장에서 잡힌다. 명태는 명천군에 살던 태 씨 성을 가진 어부가 처음으로 잡았다고 하여 붙여진 이름이다. 고성통일명태축제는 지역특산물인 명태를 주제로 한 체험형 지역축제로, 우리들의 건강한 먹을거리로 사랑받아온 명태의 풍어와 안전 조업을 기원하며, 특이하게 군인들이 많이 참여한다. 고성통일명태축제는 매년 10월 거진항 일원에서 개최된다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/111/84716/83427/c/%EA%B3%A0%EC%84%B1-%ED%86%B5%EC%9D%BC%EB%AA%85%ED%83%9C%EC%B6%95%EC%A0%9C-%EC%96%B4%EB%93%B1-thumb.jpg,https://ncms.nculture.org/local-festival/story/165,강원도,고성군,강원도 고성군 거진읍 거진리 340-28,Beach Attack 행운의 통일명태를 찾아라!,"거진해변 모래사장에 숨겨진 보물을 찾는 프로그램이다. 황금 통일 명태반지, 고성 사랑 상품권 등 푸짐한 선물이 숨겨져 있다.",20191018,"고성, 명태, 지역축제, 거진항, 명천군, 지역특산물, 어촌문화체험",20220330
12,포스코의 불꽃쇼에서 시작한 영일만의 여름축제 '포항국제불빛축제',포항국제불빛축제는 2004년 포항시민의 날에 맞춰 포스코가 불꽃쇼를 진행한 것이 계기가 되어 축제로 발전한 것이다. 이후 국제규모의 불꽃 축제행사로 확대되었으며 축제콘텐츠도 ‘불꽃’중심에서 탈피하여 산업과 문화적 요소를 융합한 다채로운 프로그램이 진행된다. 축제 기간 동안 약 10만 발의 불꽃이 사용되는 세계적인 불꽃축제로 자리매김하고 있다.,이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/105/30159/17026/c/051_2019-포항국제불빛축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/373,경상북도,포항시,경상북도 포항시 남구 해도동 89-2,DJ party,축제 뒷풀이 공연으로 해외유명 DJ를 초청해 하이라이트 행사가 끝이나도 즐거운 축제 분위기를 이어간다.,20191021,"포항, 불빛, 축제, 불꽃, 포스코, 영일만, 포항남구, 형산강체육공원",20220330
13,공연보고 맥주 마시고 '송도맥주축제',"송도맥주축제는 탁 트인 공원에서 국내외 다양한 맥주와 최정상급 뮤지션의 음악을 즐길 수 있는 초대형 맥주&음악축제이다. 2011년 8월 세계 3대 축제의 하나인 옥토버페스트와 겨루겠다는 취지로 시작된 축제이다. 송도달빛축제공원에서 매년 8월에 개최되며, 축제기간 동안 매일밤 불꽃놀이가 펼쳐진다. 공원은 달빛존, 플레존, 축제존으로 구분되어 운영된다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/56/30110/16037/c/010_2019-송도세계문화관광축제(송도-맥주축제)-thumb.jpg,https://ncms.nculture.org/local-festival/story/201,인천광역시,연수구,인천광역시 연수구 송도동 26-1,EDM 파티,마지막 순서로 신나는 EDM 파티가 매일 밤 열린다. 모든 공연과 불꽃놀이가 끝난 뒤 자유롭게 음악과 맥주를 밤 늦게까지 즐길 수 있다.,20191018,"송도, 맥주, 축제, 송도달빛축제공원, 인천펜타포트",20220330
14,1957년부터 시작된 '밀양아리랑대축제',"경상남도 밀양 영남루의 중수를 기념하여 1957년 제1회 밀양종합문화제가 열린다. 1963년에 아랑제와 밀양문화제로 이원화되었던 행사는 1968년 밀양아랑제로 통합되었다가 2004년 밀양아리랑대축제로 명칭이 바뀌었다. 밀양 출신인 사명대사의 ‘충의’와 김종직의 ‘지덕’, 아랑낭자의 ‘정순’ 등 밀양의 3대 인물의 고귀한 정신을 기리는 종합문화제이다.",춤·음악 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/107/30161/17028/c/054_2019밀양아리랑대축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/335,경상남도,밀양시,경상남도 밀양시 내일동 40,KBS밀양아리랑가요제,밀양아리랑대축제 기간에 동시행사로 개최되는 밀양아리랑가요제는 가수 지망생들의 신인 가수 등용문 역할을 톡톡히 하고 있는 전통있는 가요제다.,20191021,"밀양, 아랑, 아리랑, 점필재, 김종직, 사명대사, 충의, 지덕, 정순",20220330
15,천만송이 연꽃과 함께 즐기는 '부여서동연꽃축제',부여서동연꽃축제는 서동과 선화공주의 사랑이야기가 서려있는 서동공원(궁남지)에서 매년 7월에 개최된다. 634년(무왕 35)에 만들어진 궁남지는 현재 국내에 남아 있는 인공 연못 중에서 가장 오래된 것이다. 10만평 규모의 연지에는 백련과 홍련을 비롯한 약 50종의 연꽃 천만송이가 핀다. 부여서동연꽃축제는 연꽃들을 관람하며 다양한 문화체험행사에 참여할 수 있는 축제이다.,지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/83/30136/17017/c/032_2019-부여서동연꽃축-thumb.jpg,https://ncms.nculture.org/local-festival/story/303,충청남도,부여군,충청남도 부여군 부여읍 동남리 142-4,Lotus 별밤 드론아트쇼,300여대의 드론이 하나의 형상이 되어 밤하늘을 배경으로 환상적인 아트를 선보인다.,20191021,"부여, 서동, 서동요, 축제, 선화공주, 지역명소, 연못",20220330
16,마실가듯 놀러가는 거리형 축제 '부안마실축제',"2019년부터 기존의 부안오복마실축제에서 부안마실축제로 축제명이 변경되었다. 부안마실축제는 가정의 달 5월을 맞아 가족들과 함께 부안을 방문하여 휴식을 취하고 희망을 찾고 행복을 얻어가는 축제이다. 부안의 역사와 자원을 읍면별로 소개하는 마실부안마당, 일부 마을을 축제장으로 축소하여 농어촌체험마을을 직접 체험하는 체험프로그램 등 다채로운 행사가 펼쳐진다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/91/30145/16086/c/039_2019부안마실축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/301,전라북도,부안군,전라북도 부안군 부안읍 선은리 654-4,New 별빛마실,"반짝반짝 빛나는 부안의 산, 들, 바다, 사랑 4개의 테마 지역을 산책하며 부안의 밤 마실을 만끽해본다.",20191021,"부안, 마실, 축제, 힐링, 부안군, 이색체험, 위도띠뱃놀이",20220330
17,추수철 맛있는 이천 햅쌀 만나러 오세요! '이천쌀문화축제',"이천쌀문화축제는 임금님께 쌀을 진상하던 이천에서 개최되는 잔치한마당이다. 이천쌀문화축제는 이천농업인축제로 시작하여 2004년 지금의 명칭으로 바뀌었다. 이천쌀문화축제는 풍년마당, 공연마당, 동화마당, 놀이마당, 농경마당, 햅쌀거리 등 11개의 마당으로 구성되어 우리나라의 농경문화를 알린다. 가마솥밥, 가래떡, 막걸리 등 쌀로 만든 음식을 맛볼 수 있고, 햅쌀을 구입할 수 있다",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/67/30121/16055/c/020_2019-제-21회-이천쌀문화축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/237,경기도,이천시,경기도 이천시 관고동 418-2,가마솥마당,"쌀밥명인전 대회, 솥뚜껑요리, 가마솥 포토존, 이천명 가마솥, 소형가마솥 밥짓기 등 남녀노소가 모두 쉽게 참여할 수 있는 마당이 꾸며져있다.",20191018,"이천, 쌀, 축제, 특산물, 가을걷이, 설봉공원, 농촌체험, 농경",20220330
18,근대 개항장을 밤에 즐기는 인천개항장 문화재 야행,인천개항장 문화재 야행은 2016년 ‘인천 개항장 밤마실’로 시작하였다. 인천은 1883년 조일수호조규로 인해 개항되면서 개항장과 조계지를 갖게 되었다. 이곳은 근대화의 관문이면서 동시에 식민지 수탈의 역사가 공존하고 있는 곳이다. 인천개항장 문화재 야행은 이런 근대 문화재를 밤문화로 즐길 수 있는 축제이다. 인천 가치 재창조 사업의 일환으로 시작된 이 축제는 2017년부터 상반기와 하반기로 나누어 개최되고 있다.,지역명소축제,,https://ncms.nculture.org/local-festival/story/659,인천광역시,중구,인천 중구 내동 212-13,"가배, 첫 커피와의 만남","근대문화 체험 프로그램으로 가배, 즉 커피에 관한 역사를 듣고 커피를 손수 내리는 체험까지 해볼 수 있다.",20191118,"문화재, 야행, 일제강점기, 개항장, 밤마실, 인천",20220330
20,6만평 하늘공원에서 펼쳐지는 서울억새축제,"서울억새축제는2002년 쓰레기 매립장 난지도에서 월드컵 공원 환경생태공원으로 변화한 하늘공원에서 억새꽃이 피는10월에 개최되는 축제이다.난지도는 서울의 쓰레기 매립장이었으나 생태공원으로 조성되었고, 하늘공원을 만들 당시 전국 23개 도시의 억새를 가져다 심었다. 6만평 억새밭 사이로 난 23개의 길을 걸어보는 것도 좋은 경험이고, 밤에 억새밭에서 서울의 야경을 감상하는 것도 좋은 추억이 될 것이다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/87/29766/14271/c/서울억새축제2019-10-18-20.03.57-thumb.jpg,https://ncms.nculture.org/local-festival/story/488,서울특별시,마포구,서울 마포구 상암동 481-72,가을편지쓰기,"사랑하는 사람 또는 존경하는 사람에게 편지를 쓰는 행사로, 참여한 사람에게는 억새축제 기념엽서 및 우표 제공를 제공한다.",20191021,"억새, 난지도, 하늘공원, 월드컵 공원, 가을바람따라",20220330
21,찻사발 장인들이 함께 하는 축제 '문경전통찻사발축제',"문경찻사발축제는 경상북도 문경시에서 찻사발을 주제로 하여 매년 4월 개최되는 축제이다. 문경은 사토를 캐내 발물레로 찻잔을 성형하고, 망댕이 가마로 구워내는 전통방식의 찻사발 도예가 발달한 지역이다. 문경찻사발축제에서는 이 지역에서 활동하는 도예장인들이 참가하여 찻사발 만드는 과정을 보여주고, 관광객들이 사토와 망댕이 가마를 체험해 볼 수 있다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/100/30154/17019/c/046_2019-문경전통찻사발축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/293,경상북도,문경시,경북 문경시 문경읍 새재로 932 상초리 288-1,가족 도자기 체험 사랑방,"가족, 연인, 친구와 함께 찻사발그림그리기 체험으로 추억을 쌓는 시간이 된다.",20191021,"문경, 찻사발, 축제, 문경새재, 망댕이, 가마, 도자기",20220330
22,소백한 철쭉 피는 계절엔 ‘단양소백산 철쭉제’,"충청북도 단양군에서는 매년 5월에 충북과 경북의 경계에 거대한 산맥을 이룬 소백산에서 꽃망울을 터트리는 철쭉의 아름다움을 소재로 축제를 연다. 소백산을 찾는 산악인과 관광객이 참여하는 이 축제는 소백산 산신제를 시작으로 개막하여, 가족과 함께하는 소백산행, 향기 담은 꽃차 시음, 농산물 판매, 단양 문인들과 미술인들의 전시회, 실버가요제, 강변문화제 등 다채로운 프로그램으로 즐거움을 준다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/242/30296/18390/c/195_-2019-단양-소백산철쭉제-thumb.jpg,https://ncms.nculture.org/local-festival/story/98,충청북도,단양군,충북 단양군 단양읍 별곡리 315,가족과 함께하는 소백산행,다리안 관광지 일원에서 시작해 비로봉 정상까지 길따라 피어난 철쭉을 즐길 수 있는 산행길. 비로봉 정상에서의 경품 추첨은 덤이다.,20191017,"철쭉, 소백산, 철쭉길 걷기, 죽령옛길 걷기, 소백산산신제, 영주시 발전 기원제",20220330
23,국내 유일의 용천수 축제 '도두오래물축제',"도두오래물축제는 제주 고유의 자원인 용천수를 주제로 한 축제이다. 용천수인 오래물은 오방에서 솟았다고 하여 붙여진 이름으로, 물이 맑고 달다. 축제의 규모는 작지만 용천수를 주제로 재미있는 구성과 공동체의 단합을 보여주는 축제이다. 여름 시즌에는 제주를 찾는 관광객들이 한 번쯤 들려볼 만한 관광적 가치를 지니고 있다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/122/30176/17043/c/069_2019-도두오래물축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/175,제주특별자치도,제주시,제주특별자치도 제주시 도두일동 2555-2,가족과 함께하는 체험,"럭셔리 요트타고 바다로 가자, 아빠 엄마와 카약타기, 온가족 비눗방울 만들기, 황금 물고기 잡기, 블럭체험 등 가족들이 함께 참여하여 추억을 쌓을 수 있는 다양한 프로그램이 있다.",20191018,"도두동, 오래물, 용천수, 축제, 관광지, 도두동오래물수산물대축제",20220330
24,매년 9월 해녀박물관에서 열리는 '제주해녀축제',"제주해녀축제는 제주해녀문화 홍보와 제주해녀들의 위상과 자긍심을 높이기 위해 제정한 해녀의 날과 함께 진행된다. 축제 기간 동안 ‘해녀’를 주제로 한 학술대회를 비롯하여 여러 가지 공연과 체험 행사들이 펼쳐진다. 제주해녀축제는 2018년 문화체육관광부 육성축제로 선정되었으며, 제주특별자치도가 주최하고 제주해녀축제추진위위회가 주관하여 매년 9월 해녀박물관에서 개최된다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/113/30167/17034/c/060_-2019-제주해녀축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/362,제주특별자치도,제주시,제주특별자치도 제주시 구좌읍 상도리 3204-1,각종 경연행사,"어린이 사생대회, 해녀불턱가요제, 소라망사리무게맞추기 경연 등이 있어 참가자들의 눈과 귀를 즐겁게 해줄 수 있다.",20191021,"제주, 해녀, 축제, 물질, 숨비소리, 해녀박물관, 해녀의 날",20220330
25,국토최남단에서 새해를 맞이하는 '땅끝해넘이해맞이 축제',"전라남도 해남군 송지면 갈두리의 땅끝마을은 한반도의 최서남단으로, 삐죽하게 바다로 내민 땅끝에서 해넘이와 해맞이를 동시에 할 수 있다. 땅끝전망대 및 땅끝탑은 국토의 끝이자 한반도의 땅끝이므로 한해를 보내고, 새로운 해를 맞이하는 최적의 장소로 손꼽힌다. 땅끝마을은 한해를 보내는 해넘이와 새해를 보내는 해맞이 축제를 통해 희망찬 새해를 맞이하고자 축제를 벌인다. 해를 보며 기올리기, 달집태우기, 소원탑쌓기, 소원띠, 해맞이제 등을 통해 한 해를 의미있게 시작할 수 있다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/230/30284/18378/c/183_-제-23회-땅끝해넘이해맞이축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/88,전라남도,해남군,전라남도 해남군 송지면 땅끝마을길 82,강강술래,"국가무형문화재 제8호로 지정무되었고 2019년 유네스코 인류무형문화유산으로 등재된된 대표적인 민속놀이이며, 강강술래한마당은 즉석에서 배우고 참여하는 열린 마당",20191017,"해돋이, 해맞이, 소원띠, 소원배, 달집태우기, 땅끝",20220330
26,다같이 한복 입고 놀아보자 '종로한복축제',"종로한복축제는 한복의 멋과 우수성을 널리 알리기 위한 전국 최대 규모의 한복축제이다. 2016년 처음 개최된 종로한복축제는 매년 9월 대학로 마로니에공원 및 종로구 일대에서 열린다. 종로한복축제는 종로북춤으로 시작해서, 마로니에 공원에서 다 같이 한복을 입고 강강술래하는 것으로 끝난다. 그 사이에 한복을 입은 오케스트라의 연주회, 한복 패션쇼 등이 열리고, 한복을 입고 전통문화를 즐길 수 있는 다양한 프로그램이 준비되어 있다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/50/30104/16031/c/004_2019-종로한복축제(1)-thumb.jpg,https://ncms.nculture.org/local-festival/story/221,서울특별시,종로구,서울특별시 종로구 세종로 81-3,강강술래,한복축제 피날레를 장식하는 평화와 사랑의 강강술래다. 국가무형문화재 강강술래 보유자와 함께 준비된 사람들이 앞에서 시범을 보이면 남녀노소 할것없이 뒤에서 함께 따라하며 화려함을 더한다.,20191018,"종로, 한복, 축제, 조선옷, 저고리, 치마, 한복사랑, 생활문화",20220330
27,고창읍성을 밟고 무병장수하세! '고창 모양성제',고창모양성제는 애국심을 고취하고 향토문화를 계승 발전시키며 고창군민의 긍지와 애향심을 높이기 위해 1973년부터 개최되고 있는 지역축제이다. 왜구를 막기 위해 전라도민들이 축성한 모양성(고창읍성)을 밟는 답성놀이와 강강술래 재연이 주효 행사이다. 고창군에서는 답성민속을 기리기 위해 매년 음력 9월 9일(중양절)에 축제를 개최하여 답성놀이를 한다.,전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/89/30143/16083/c/038_2019-고창모양성제-thumb.jpg,https://ncms.nculture.org/local-festival/story/244,전라북도,고창군,전라북도 고창군 고창읍 읍내리 127,강강술래,가을 풍경을 배경으로 한복을 입은 여성들이 강강술래를 한다.,20191018,"고창, 읍성, 모양성, 축제, 답성놀이, 모양성제",20220330
28,젓갈시장에서 열리는 '논산강경젓갈축제',"논산강경젓갈축제는 IMF가 한창이던 1997년 지역경제 활성화와 상인들의 소득증대를 위해 강경 젓갈상인들이 뜻을 모아 시작한 것이다. 강경의 역사적 배경을 무대로 한 논산강경젓갈축제는 젓갈체험과 특별행사, 부대행사 등이 어우러져 강경이라는 지역과 강경젓갈의 우수성을 널리 홍보하는 논산을 대표하는 지역 축제로 자리매김하고 있다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/81/30135/16073/c/031_2019-논산강경젓갈축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/248,충청남도,논산시,충청남도 논산시 강경읍 황산리 198,강경젓갈김치담그기,"유명하고 맛좋은 강경젓갈을 활용해 배추김치, 총각김치 김장을 직접 체험해보고 필요한만큼 구매할 수 있는 체험행사다.",20191018,"논산, 강경, 젓갈, 축제, 먹거리, 특산물, 체험학습",20220330
